name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Daniel Fontana,1,1,1,2,PRO,40,Milano,ITA,---,5000,00:47:43,2.4 mi,00:02:35,04:39:53,112 mi,00:00:58,02:55:06,26.2 mi,08:26:15
Stephen Bayliss,2,2,2,13,PRO,37,Surrey,GBR,---,4927,00:45:37,2.4 mi,00:02:22,04:42:08,112 mi,00:01:02,03:01:10,26.2 mi,08:32:19
Domenico Passuello,3,3,3,17,PRO,38,Intl State,ITA,---,4903,00:51:43,2.4 mi,00:02:37,04:35:54,112 mi,00:01:18,03:02:46,26.2 mi,08:34:18
Swen Sundberg,4,4,4,18,PRO,42,DE,DEU,---,4855,00:49:51,2.4 mi,00:02:45,04:43:06,112 mi,00:01:36,03:00:59,26.2 mi,08:38:17
Patrick Evoe,5,5,5,6,PRO,39,CO,USA,---,4832,00:51:46,2.4 mi,00:02:44,04:46:26,112 mi,00:00:59,02:58:18,26.2 mi,08:40:13
Matt Russell,6,6,6,3,PRO,33,FL,USA,---,4807,00:51:34,2.4 mi,00:02:36,04:51:41,112 mi,00:01:38,02:54:51,26.2 mi,08:42:20
Jan Van Berkel,7,7,7,10,PRO,30,---,CHE,---,4756,00:47:46,2.4 mi,00:02:30,04:36:25,112 mi,00:01:20,03:18:30,26.2 mi,08:46:31
Derek Garcia,8,8,8,12,PRO,32,ID,USA,---,4716,00:49:51,2.4 mi,00:02:42,04:43:03,112 mi,00:01:27,03:12:50,26.2 mi,08:49:53
Petr Vabrousek,9,9,9,9,PRO,42,Czech republic,CZE,---,4599,00:53:10,2.4 mi,00:03:36,04:49:53,112 mi,00:02:02,03:10:57,26.2 mi,08:59:38
Mike Schifferle,10,10,10,11,PRO,43,---,CHE,---,4519,00:57:07,2.4 mi,00:03:13,04:45:37,112 mi,00:02:38,03:17:43,26.2 mi,09:06:18
